f1 f2 Solution1 Solution2 Run Gen Vector Weight1 Weight2
0.467281 0.611488 0101110000000111 1101100000011011 1 0 V1 0 1
0.539041 0.611802 1101100000011011 0101100001011011 1 1 V1 0 1
0.448318 0.629145 0101100001011011 1101100000011001 1 2 V1 0 1
0.52768 0.648792 1101100000011001 1101100001010001 1 3 V1 0 1
0.480502 0.661657 1101100001010001 1101100000010001 1 4 V1 0 1
0.515735 0.668793 1101100000010001 1100100000000001 1 5 V1 0 1
0.537993 0.671317 1100100000000001 1100100000000001 1 6 V1 0 1
0.537993 0.671317 1100100000000001 1100110000000001 1 7 V1 0 1
0.509664 0.676792 1100110000000001 0100110000000011 1 8 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 9 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 10 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 11 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 12 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 13 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 14 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 15 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 16 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 17 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 18 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 19 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 20 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 21 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 22 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 23 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 24 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 25 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 26 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 27 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 28 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 29 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 30 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 31 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 32 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 33 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 34 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 35 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 36 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 37 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 38 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 39 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 40 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 41 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 42 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 43 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 44 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 45 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 46 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 47 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 48 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 49 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 1 50 V1 0 1
0.531382 0.608961 0100000000000001 1101100000010101 2 0 V1 0 1
0.48956 0.62986 1101100000010101 1101100000010001 2 1 V1 0 1
0.515735 0.668793 1101100000010001 0100110000000011 2 2 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 3 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 4 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 5 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 6 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 7 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 8 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 9 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 10 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 11 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 12 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 13 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 14 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 15 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 16 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 17 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 18 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 19 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 20 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 21 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 22 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 23 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 24 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 25 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 26 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 27 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 28 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 29 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 30 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 31 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 32 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 33 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 34 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 35 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 36 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 37 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 38 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 39 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 40 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 41 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 42 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 43 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 44 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 45 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 46 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 47 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 48 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 49 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 2 50 V1 0 1
0.493947 0.615525 1101100011011001 0000100100000011 3 0 V1 0 1
0.509263 0.621968 0000100100000011 0000100100000011 3 1 V1 0 1
0.509263 0.621968 0000100100000011 0100110100000011 3 2 V1 0 1
0.507202 0.669578 0100110100000011 0100110100000011 3 3 V1 0 1
0.507202 0.669578 0100110100000011 0100110100000011 3 4 V1 0 1
0.507202 0.669578 0100110100000011 0100110100000011 3 5 V1 0 1
0.507202 0.669578 0100110100000011 0100110100000011 3 6 V1 0 1
0.507202 0.669578 0100110100000011 0100110100000011 3 7 V1 0 1
0.507202 0.669578 0100110100000011 0100110000000011 3 8 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 9 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 10 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 11 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 12 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 13 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 14 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 15 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 16 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 17 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 18 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 19 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 20 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 21 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 22 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 23 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 24 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 25 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 26 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 27 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 28 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 29 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 30 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 31 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 32 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 33 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 34 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 35 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 36 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 37 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 38 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 39 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 40 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 41 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 42 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 43 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 44 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 45 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 46 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 47 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 48 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 49 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 3 50 V1 0 1
0.501105 0.665117 0000110100000011 0000110100000011 4 0 V1 0 1
0.501105 0.665117 0000110100000011 1100100000000001 4 1 V1 0 1
0.537993 0.671317 1100100000000001 1100100000000001 4 2 V1 0 1
0.537993 0.671317 1100100000000001 1100110000000001 4 3 V1 0 1
0.509664 0.676792 1100110000000001 1100110000000001 4 4 V1 0 1
0.509664 0.676792 1100110000000001 1100110000000001 4 5 V1 0 1
0.509664 0.676792 1100110000000001 1100110000000001 4 6 V1 0 1
0.509664 0.676792 1100110000000001 1100110000000001 4 7 V1 0 1
0.509664 0.676792 1100110000000001 1100110000000001 4 8 V1 0 1
0.509664 0.676792 1100110000000001 1100110000000001 4 9 V1 0 1
0.509664 0.676792 1100110000000001 1100110000000001 4 10 V1 0 1
0.509664 0.676792 1100110000000001 1100110000000001 4 11 V1 0 1
0.509664 0.676792 1100110000000001 1100110000000001 4 12 V1 0 1
0.509664 0.676792 1100110000000001 1100110000000011 4 13 V1 0 1
0.541196 0.677477 1100110000000011 0100110000000011 4 14 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 4 15 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 4 16 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 4 17 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 4 18 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 4 19 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 4 20 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 4 21 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 4 22 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 4 23 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 4 24 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 4 25 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 4 26 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 4 27 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 4 28 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 4 29 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 4 30 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 4 31 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 4 32 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 4 33 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 4 34 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 4 35 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 4 36 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 4 37 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 4 38 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 4 39 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 4 40 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 4 41 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 4 42 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 4 43 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 4 44 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 4 45 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 4 46 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 4 47 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 4 48 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 4 49 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 4 50 V1 0 1
0.408621 0.618099 0101010101010011 1101100000010011 5 0 V1 0 1
0.527097 0.631804 1101100000010011 0001110000011011 5 1 V1 0 1
0.493799 0.640077 0001110000011011 0001110000011011 5 2 V1 0 1
0.493799 0.640077 0001110000011011 0101110000010011 5 3 V1 0 1
0.487952 0.664539 0101110000010011 0101110000010011 5 4 V1 0 1
0.487952 0.664539 0101110000010011 0101110000010011 5 5 V1 0 1
0.487952 0.664539 0101110000010011 0101110000010011 5 6 V1 0 1
0.487952 0.664539 0101110000010011 0101110000010011 5 7 V1 0 1
0.487952 0.664539 0101110000010011 0101110000010011 5 8 V1 0 1
0.487952 0.664539 0101110000010011 0100110000000011 5 9 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 5 10 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 5 11 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 5 12 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 5 13 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 5 14 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 5 15 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 5 16 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 5 17 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 5 18 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 5 19 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 5 20 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 5 21 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 5 22 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 5 23 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 5 24 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 5 25 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 5 26 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 5 27 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 5 28 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 5 29 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 5 30 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 5 31 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 5 32 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 5 33 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 5 34 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 5 35 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 5 36 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 5 37 V1 0 1
0.485706 0.701956 0100110000000011 0100110000000011 5 38 V1 0 1
