f1 f2 Solution1 Solution2 Run Gen Vector Weight1 Weight2
0.526232 0.680609 0100011001010110 0100011001010110 1 0 V1 0 1
0.526232 0.680609 0100011001010110 0101001011000010 1 1 V1 0 1
0.549253 0.690368 0101001011000010 0100011001000110 1 2 V1 0 1
0.579351 0.724436 0100011001000110 0100011001000110 1 3 V1 0 1
0.579351 0.724436 0100011001000110 0100011001000110 1 4 V1 0 1
0.579351 0.724436 0100011001000110 0100011001000110 1 5 V1 0 1
0.579351 0.724436 0100011001000110 0100011001000110 1 6 V1 0 1
0.579351 0.724436 0100011001000110 0100011001000110 1 7 V1 0 1
0.579351 0.724436 0100011001000110 0100011001000110 1 8 V1 0 1
0.579351 0.724436 0100011001000110 0100011001000110 1 9 V1 0 1
0.579351 0.724436 0100011001000110 0100011001000110 1 10 V1 0 1
0.579351 0.724436 0100011001000110 0100011001000110 1 11 V1 0 1
0.579351 0.724436 0100011001000110 0100011001000110 1 12 V1 0 1
0.579351 0.724436 0100011001000110 0100011001000110 1 13 V1 0 1
0.579351 0.724436 0100011001000110 0100011001000110 1 14 V1 0 1
0.579351 0.724436 0100011001000110 0100011001000110 1 15 V1 0 1
0.579351 0.724436 0100011001000110 0100011001000110 1 16 V1 0 1
0.579351 0.724436 0100011001000110 0100011001000110 1 17 V1 0 1
0.579351 0.724436 0100011001000110 0100011001000110 1 18 V1 0 1
0.579351 0.724436 0100011001000110 0100011001000110 1 19 V1 0 1
0.579351 0.724436 0100011001000110 0100011001000110 1 20 V1 0 1
0.579351 0.724436 0100011001000110 0100011001000110 1 21 V1 0 1
0.579351 0.724436 0100011001000110 0100011001000110 1 22 V1 0 1
0.579351 0.724436 0100011001000110 0100011001000110 1 23 V1 0 1
0.579351 0.724436 0100011001000110 0100011001000110 1 24 V1 0 1
0.579351 0.724436 0100011001000110 0100011001000110 1 25 V1 0 1
0.579351 0.724436 0100011001000110 0100011001000110 1 26 V1 0 1
