f1 f2 Solution1 Solution2 Run Gen Vector Weight1 Weight2
0.521238 0.685559 0111001100011111 1110100110011001 1 0 V1 0 1
0.369326 0.714976 1110100110011001 1110100110011001 1 1 V1 0 1
0.369326 0.714976 1110100110011001 0110101110001000 1 2 V1 0 1
0.417607 0.719597 0110101110001000 1110100110011000 1 3 V1 0 1
0.343048 0.733595 1110100110011000 0011001110001000 1 4 V1 0 1
0.472548 0.735473 0011001110001000 0011101110011000 1 5 V1 0 1
0.443297 0.756538 0011101110011000 0011101110001000 1 6 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 7 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 8 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 9 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 10 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 11 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 12 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 13 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 14 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 15 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 16 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 17 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 18 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 19 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 20 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 21 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 22 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 23 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 24 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 25 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 26 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 27 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 28 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 29 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 30 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 31 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 32 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 33 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 34 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 35 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 36 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 37 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 38 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 39 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 40 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 41 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 42 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 43 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 44 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 45 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 46 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 47 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 48 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 49 V1 0 1
0.424878 0.780342 0011101110001000 0011101110001000 1 50 V1 0 1
0.465015 0.691348 0111101110000111 0111101110000111 2 0 V1 0 1
0.465015 0.691348 0111101110000111 0011101110000111 2 1 V1 0 1
0.436798 0.715981 0011101110000111 0011101110000111 2 2 V1 0 1
