f1 f2 Solution1 Solution2 Run Gen Vector Weight1 Weight2
0.676792 0.664572 0010000101011101 1110101101001111 1 0 V1 0 1
0.560201 0.677718 1110101101001111 0110100010011101 1 1 V1 0 1
0.634746 0.756097 0110100010011101 0110100010011101 1 2 V1 0 1
0.634746 0.756097 0110100010011101 0110100010011101 1 3 V1 0 1
0.634746 0.756097 0110100010011101 0110100010011101 1 4 V1 0 1
0.634746 0.756097 0110100010011101 0110100010011101 1 5 V1 0 1
0.634746 0.756097 0110100010011101 0110100010011101 1 6 V1 0 1
0.634746 0.756097 0110100010011101 1110001101001101 1 7 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 8 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 9 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 10 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 11 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 12 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 13 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 14 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 15 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 16 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 17 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 18 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 19 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 20 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 21 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 22 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 23 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 24 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 25 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 26 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 27 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 28 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 29 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 30 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 31 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 32 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 33 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 34 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 35 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 36 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 37 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 38 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 39 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 40 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 41 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 42 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 43 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 44 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 45 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 46 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 47 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 48 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 49 V1 0 1
0.627996 0.774271 1110001101001101 1110001101001101 1 50 V1 0 1
0.588039 0.658857 0001100010011011 0001100010011011 2 0 V1 0 1
0.588039 0.658857 0001100010011011 0110100010001011 2 1 V1 0 1
0.61572 0.697852 0110100010001011 0011011001001111 2 2 V1 0 1
0.575456 0.705632 0011011001001111 1110111001001111 2 3 V1 0 1
0.555036 0.712193 1110111001001111 0110100010011101 2 4 V1 0 1
0.634746 0.756097 0110100010011101 0110100010011101 2 5 V1 0 1
0.634746 0.756097 0110100010011101 0110100010011101 2 6 V1 0 1
0.634746 0.756097 0110100010011101 0110100010011101 2 7 V1 0 1
0.634746 0.756097 0110100010011101 0110100010011101 2 8 V1 0 1
0.634746 0.756097 0110100010011101 0110100010011101 2 9 V1 0 1
0.634746 0.756097 0110100010011101 0110100010011101 2 10 V1 0 1
0.634746 0.756097 0110100010011101 0110100010011101 2 11 V1 0 1
0.634746 0.756097 0110100010011101 0110100010011101 2 12 V1 0 1
0.634746 0.756097 0110100010011101 0110100010011101 2 13 V1 0 1
0.634746 0.756097 0110100010011101 0110100010011101 2 14 V1 0 1
0.634746 0.756097 0110100010011101 0110100010011101 2 15 V1 0 1
0.634746 0.756097 0110100010011101 0110100010011101 2 16 V1 0 1
0.634746 0.756097 0110100010011101 0110100010011101 2 17 V1 0 1
0.634746 0.756097 0110100010011101 0110100010011101 2 18 V1 0 1
0.634746 0.756097 0110100010011101 0110100010011101 2 19 V1 0 1
0.634746 0.756097 0110100010011101 0110100010011101 2 20 V1 0 1
0.634746 0.756097 0110100010011101 0110100010011101 2 21 V1 0 1
0.634746 0.756097 0110100010011101 0110100010011101 2 22 V1 0 1
0.634746 0.756097 0110100010011101 0110100010011101 2 23 V1 0 1
0.634746 0.756097 0110100010011101 0110100010011101 2 24 V1 0 1
